	both_popular_all_old	both_popular_all_recent	both_viral_all_old	both_viral_all_recent	both_viral_and_popular_all_old	both_viral_and_popular_all_recent	youtube_popular_all_old	youtube_popular_all_recent	youtube_viral_all_old	youtube_viral_all_recent	youtube_viral_and_popular_all_old	youtube_viral_and_popular_all_recent
ageRatioComments_1	0.471395	1.759757	1.1419	0.297628	1.444364	0.989911	2.778065	1.033374	0.443972	2.940309	3.547919	1.872765
ageRatioComments_2	1.492221	0.988685	1.134728	1.724042	2.68183	1.22666	2.024252	2.961991	0.815293	2.642479	4.428099	5.375668
ageRatioDislikes_1	0.597695	3.396634	3.503486	0.873379	1.802003	1.46155	0.496157	2.732457	1.96617	1.026301	2.05675	2.654727
ageRatioDislikes_2	0.022567	2.466962	0.841199	0.400414	1.870883	4.39098	0.013343	3.041452	0.129496	3.120876	2.155397	4.15046
ageRatioLikes_1	0.083541	5.562077	1.308428	0.3841	1.826752	0.763504	0.304619	8.057703	6.013917	1.013072	0.978697	0.395973
ageRatioLikes_2	0.349056	0.936307	1.081655	3.401729	0.298488	3.450495	0.585358	1.28527	3.859524	4.107002	2.37437	4.49773
ageRatioViews_1	5.141906	3.667726	1.749866	2.627242	2.305778	0.694103	4.077534	5.142339	2.135448	5.556235	1.774216	1.521979
ageRatioViews_2	0.358985	3.111702	0.58429	1.111965	2.664831	1.028377	0.103971	5.927427	6.820801	5.179723	2.220789	3.053008
artificial_category	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
category	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
channel_comments	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
channel_subscribers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
channel_uploads	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
channel_views	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
comments_1	0.47431	0.579354	0.875528	0.455685	2.046348	1.134056	0.811935	1.724515	0.177648	1.51266	1.590555	1.973378
comments_2	1.338395	1.252549	0.780367	1.171424	1.312508	0.797144	2.981461	1.483929	0.12982	1.266841	2.590898	2.307626
comments_acc	0.998923	1.233575	0.917987	3.94133	2.856222	1.854456	3.278492	2.727101	0.600039	4.380735	3.359457	5.028326
comments_dif	3.117528	0.939005	0.803955	1.198117	1.722999	1.577307	2.680417	2.345564	0.0	1.820657	1.571349	1.677453
comments_sentiment_compound	0.095191	2.091093	2.742005	2.086635	0.123362	3.491624	0.031347	2.569662	9.958937	4.955602	3.307703	3.212903
comments_sentiment_neg	0.49132	2.425077	1.115966	2.056447	1.785962	0.567701	0.0	2.687568	5.703862	4.873149	6.527972	4.677289
comments_sentiment_neu	0.590825	0.857068	0.623508	1.50108	2.185723	7.14E-4	0.185666	3.050707	5.14031	3.124514	1.041477	3.662973
comments_sentiment_pos	0.981841	1.634458	1.369632	0.766882	0.871215	0.854814	1.461543	1.978306	2.995498	1.201447	0.754538	4.891747
dislikes_1	0.156644	0.186836	0.275534	0.817318	0.667097	0.301053	0.003255	0.595982	0.210854	1.054966	0.572316	0.38315
dislikes_2	0.827999	2.606357	1.02972	0.179907	0.501432	0.563362	1.110462	1.778047	0.625488	1.247473	0.7268	2.841497
dislikes_acc	0.539423	0.980281	1.477127	0.931711	0.0	0.833164	0.824673	2.446157	0.195376	1.991636	0.102891	0.885347
dislikes_dif	1.110835	2.581778	1.013855	0.400848	0.41554	1.980163	0.751507	2.854837	0.226026	1.412753	0.861424	2.451859
likes_1	1.31721	1.269211	0.753827	1.432272	4.614652	1.658336	7.975166	1.379725	4.074328	2.00216	10.027693	3.790954
likes_2	0.657974	1.151475	0.054936	0.664618	1.081999	3.434736	0.50864	1.277903	0.681722	6.192254	4.276897	8.523563
likes_acc	0.098099	0.0	2.190203	2.958963	3.988778	1.345254	1.572821	0.340324	7.00582	5.384258	4.636423	3.912799
likes_dif	0.23961	1.339092	0.182807	0.385016	0.731246	2.745573	0.238212	1.649761	0.588699	6.699112	3.266698	5.738142
ratioComments_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioComments_2	0.148856	4.268192	2.151079	0.84511	4.995211	1.083226	4.469596	5.217569	1.880629	1.029897	9.517926	2.521709
ratioDislikes_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioDislikes_2	5.744641	1.915008	1.9758	0.927194	1.384042	1.202256	4.284112	2.559087	0.498921	1.883018	4.442817	1.356728
ratioHashtags_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioHashtags_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.964684	0.0	0.292555	0.0	0.993828
